SMILES,Predicted_Score,Uncertainty,UCB_Score
c1ccc2ccccc2c1,6.033365595743145,1.8032030384101323,9.639771672563409
c1ccc(Br)cc1,5.236379442934844,2.185857338781104,9.608094120497052
c1ccc(-c2ccccc2)cc1,5.957816704387279,1.6337979086582626,9.225412521703804
CCN,5.062869378192558,2.072299736376335,9.20746885094523
CCc1ccccc1CC,5.287121101479892,1.9158329309002566,9.118786963280405
NC(=O)c1ccccc1,6.110717512118434,1.4901811614832818,9.091079835084997
OC(c1ccccc1)c1ccccc1,5.598398297335997,1.6837228286894068,8.96584395471481
CCCC,6.524656761111113,1.1570157467353266,8.838688254581767
CC#N,6.019362388028636,1.3959032563240172,8.81116890067667
c1ccc(C=O)cc1,6.475452651123875,1.119297353186028,8.71404735749593
